word,definition,Example Sentence
receptor, Que recebe. ,O contato direto célula-célula ocorre quando um receptor em uma célula se liga a uma molécula que está ligada à membrana de outra célula.
recidiva, Recaída numa enfermidade. ,"Bem como a organização de ajuda humanitária para as vítimas de fome e de surtos de cólera em 1892, ele passou a construir três escolas, um corpo de bombeiros e uma clínica médica, e a doar seus serviços médicos aos camponeses que viviam a quilômetros dali, apesar das frequentes recidivas de sua tuberculose."
recipiente para objetos perfurocortantes,,
reconstrução, Acto ou efeito de reconstruir. ,"Sfn|Corrêa|2014|p=129}} Para os anarquistas, o sujeito revolucionário deve ser criado em um processo longo, que exige a construção e reconstrução dos tecidos sociais, mobilizações, lutas, derrotas e vitórias; elementos objetivos e subjetivos, racionais e emocionais, não estando esse sujeito determinado ''a priori''; dentro da concepção anarquista, ele se forja historicamente, dentro dos processos de luta das classes dominadas contra as classes dominantes."
recuperação, Acto ou efeito de recuperar. ,"Bloomberg School of Public Health, Johns Hopkins University, 04/05/2008 A recuperação das nações pobres atingidas por desastres tão graves às vezes leva anos, só para em pouco tempo serem sujeitas a novos desastres, muitas delas estando localizadas em áreas naturalmente propensas a eles, como no sudeste asiático e no Caribe."
refluxo vesicoureteral,,O refluxo vesicoureteral refere-se ao refluxo de fluido da bexiga para os ureteres.
regeneração," Acto ou efeito de regenerar. Partido politico português, formado em 1851. ","Em 1833, com a reforma administrativa do Governador Bernardo Lobo de Souza, Mazagão perde o ''status'' de vila e é anexado a Macapá, sob o novo nome de &quot;Regeneração&quot;."
regenerativo, Que pode regenerar. ,"No SAF regenerativo, a maior quantidade e diversidade de biomassa permitem uma reciclagem e renovação de constante através de podas seletivas e introdução de espécies de modo a preservar a regeneração natural e/ou adensada."
regulação, Acto ou efeito de regular. ,"O capitalismo Laissez-faire abraça a noção de que os homens devem trocar bens e serviços, sem regulação, apenas com base no valor pelo valor."
reidratação,,"O tratamento de primeira linha é a terapia de reidratação oral, em que os líquidos perdidos são repostos por soluções salinas e ligeiramente doces."
reimplante,,"lt;ref name=&quot;:7&quot; /&gt; Se a cirurgia for considerada, geralmente envolve a recolocação dos ureteres em um local diferente na bexiga e a extensão da parte do ureter que está dentro da parede da bexiga, sendo a opção cirúrgica mais comum o reimplante trigonal cruzado de Cohen."
rejeição, Acto ou efeito de rejeitar. ,"lt;/ref&gt;{{Fonte melhor}} A partir dessas premissas, os anarcocapitalistas derivam como consequência lógica a rejeição total do Estado — como uma instituição que exerce o monopólio do poder sobre os habitantes de determinada região (em geral: país/nação/reino), onde seus representantes de governo afirmam ser legítimo — e a adoção da livre iniciativa, onde as agências privadas ofereceriam um mercado de serviços — empréstimos e segurança pública incluídos — para os indivíduos."
relaxamento, O mesmo que _relaxação_. ,"Embora tenha se apresentado em público para concertos de caridade e como um representante da Liga das Nações, Einstein não tocou principalmente para os espectadores, mas para se divertir com amigos — ou sozinho, para relaxamento e inspiração."
relaxante muscular,,A ECT é administrada sob anestesia com um relaxante muscular.
remédio," Aquilo que pode causar uma mudança salutar no organismo em geral ou num órgão especial. Aquilo que cura, ou a que se atribue a faculdade de curar. Expediente. Auxílio. Emenda. ",Esta teoria defendia a ideia de que cultura mais próxima do estado &quot;natural&quot; serviria de remédio aos males da civilização.
remissão, Acto ou efeito de remittir. Falta de rigor. Indulgência; perdão: _a remissão dos pecados_. Interrupção. Desânimo. Froixidão. Remessa. Decrescimento temporário dos sintomas de uma doença. Remittência. Diminuição de intensidade. ,"quote = E esta comida é chamada entre nós ''Eukharistia'' [a Eucaristia], da qual ninguém pode participar, exceto o homem que acredita que as coisas que ensinamos são verdadeiras e que foi lavado com a lavagem que é para a remissão dos pecados e para a regeneração, e que está vivendo como Cristo ordenou."
renal, Relativo aos rins. ,"jstor=1549093 |vauthors=Gribble N, Reynolds K |volume=13}}{{Citar periódico |título=Characterization of the Renal Portal System of the Common Green Iguana (Iguana iguana) by Digital Subtraction Imaging |periódico=Journal of Zoo and Wildlife Medicine |número=2 |ano=1999 |paginas=235–241 |pmid=10484138 |vauthors=Benson KG, Forrest L |volume=30}}{{Citar web|url=https://www."
renina,,Uma equipe liderada por Alberto Taquini e Eduardo Braun-Menéndez descobriu a angiotensina em 1939 e foi o primeiro a descrever a natureza enzimática do sistema renina-angiotensina e seu papel na hipertensão.
reposição hormonal,,As mulheres que fazem terapia de reposição hormonal têm um maior risco de desenvolver cânceres associados a esses hormônios.
reprodução, Acto ou efeito de reproduzir. ,"Porém, segundo os dicionários Priberam, Aulete e Michaelis, em português &quot;antropogênico&quot; refere-se especificamente à antropogênese, a geração e reprodução humanas e às origens e desenvolvimento do homem como espécie[http://www."
reserva ovariana,,"O mapeamento da reserva ovariana de uma mulher, dinâmica folicular e biomarcadores associados podem dar um prognóstico individual sobre as chances futuras de gravidez, facilitando uma escolha informada de quando ter filhos."
resistência insulínica,,"html Eficácia da sibutramina na redução da resistência insulínica e no controle glicêmico de pacientes obesos] Assim, o médico faz uma avaliação do tratamento para decidir a dose que o paciente deve receber (iniciando com uma dose de 10&amp;nbsp;mg) ou se irá descontinuá-lo, de acordo com a perda de peso durante o tratamento."
respiração, Acto ou efeito de respirar. Ambiente. Bafo. ,"Como não possuem glândulas sudoríparas, o excesso de calor é dissipado pela respiração rápida que, em algumas espécies, pode chegar às 300 respirações por minuto."
ressecção," Operação cirúrgica, que consiste em cortar uma parte, mais ou menos extensa, de um órgão. ","A ressecção cirúrgica pode ser feita com técnicas, como a incisão e sutura simples, ou com técnicas mais sofisticadas como a zetaplastia."
ressonância magnética,,"Nos últimos séculos, os métodos de observação evoluíram de forma significativa, desde a dissecação de carcaças e cadáveres até às técnicas modernas de imagiologia médica, entre as quais radiografia, ecografia e ressonância magnética."
restauração, Acto ou efeito de restaurar. Conserto; renovação: _restauração de um quadro_. Restabelecimento. Reacquisição da independencia nacional. Restabelecimento de uma dinastia. ,"In: ''Britannia'', 1972; (3):182–208 Em 122 foi à Hispânia, passando o inverno em Tarraco, onde supervisionou a restauração do Templo de Augusto."
retenção, Acto ou efeito de reter. Demora; detenção. Reserva. Retentiva. Cárcere privado. Acumulação de substâncias nas cavidades orgânicas donde normalmente são expelidas: _retenção de urinas_. ,"Por efeito estufa entende-se a retenção de calor pela atmosfera, impedindo-o de se dissipar no espaço."
reticulócito,,"O núcleo é expelido durante o processo de diferenciação de um eritroblasto em um reticulócito, o precursor imediato dos eritrócitos maduros."
retina," A mais interior membrana do olho, em que se formam as imagens, e que transmite a percepção ao cérebro por intermédio do nervo óptico. ",lt;ref name = &quot;Gill&quot;/&gt; A retina das aves tem um sistema irrigatório próprio denominado pécten ocular.
retinopatia,,"L'esperance|Francis L'Esperance]], para tratar uma retinopatia em fevereiro de 1968."
retrovírus,,"Alguns vírus (por exemplo, os retrovírus) têm RNA como seu material genético, mas eles não possuem célula, então não precisamos citá-los."
reumatismo," Dores, que têm a sua sede principal nos músculos e articulações, sem febre nem carácter inflamatório. ",Reumatologia]] &amp;#x2013; ramo da medicina que se ocupa do diagnóstico e tratamento das doenças reumáticas .
reumatologia,,"Revista Brasileira de Reumatologia,http://www."
reumatologia,,"Revista Brasileira de Reumatologia,http://www."
revascularização,,"Mais tarde naquela semana, em seu 68º aniversário, ele foi submetido a uma cirurgia quádrupla de revascularização do miocárdio no Centro Médico da UCLA."
rinite, Inflamação da mucosa do nariz. ,"Podem apresentar-se de forma sistêmica, envolvendo múltiplos órgãos, ou de modo mais restrito como na urticária e na rinite alérgica."
rinoplastia," Operação cirúrgica, com que se substitue artificialmente o nariz ou parte do nariz. ",Ele se especializou em cirurgia plástica estética e até documentou uma operação de rinoplastia aberta.
risco," O mesmo que [[risca:1]]. Delineamento, traçado: _fazer o risco de um edifício_. Debuxo. ","Inicialmente distraído por sua beleza, ele não lutou de maneira tão intensa quanto de costume; ao perceber, no entanto, que sua distração estava colocando em risco sua vida, devido às habilidades de combate da rainha guerreira, concentrou-se novamente e conseguiu matá-la."
risco cirúrgico,,Redução do risco cirúrgico (IMC extremo com doenças associadas).
ritmo circadiano,,rowspan=3 align=&quot;center&quot;|&quot;por suas descobertas de mecanismos moleculares que controlam o ritmo circadiano&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 2017|url=http://www.
rodopsina,,Harvref|Herges|2005}} Os métodos híbridos que combinam dinâmica molecular com cálculo de mecânica quântica têm permitido a exploração dos estados eletrónicos das rodopsinas.
ruptura, Acto ou efeito de romper. Interrupção. Violação de contrato ou acordo. Quebra ou corte de relações sociais. ,"Nature News'', 09/09/2021 e pela primeira vez foram feitas avaliações das possibilidades de pontos de ruptura no clima global levando a mudanças catastróficas no sistema do clima."
sacarose, O açúcar comum. ,"São exemplos glicose, frutose,pentose, sacarose  lactose, amido."
salpingectomia,,As condições malignas requerem uma histerectomia abdominal total com salpingectomia (retirada de trompas) e ooforectomia (retirada de ovários) de ambos lados.
sanatório," Estabelecimento ou residência, apropriada para doentes ou convalescentes. ","harvref|Cheniaux|2022|p=67}} Uma carta escrita em 1931 por um médico no sanatório de Orthez para um amigo do aeronauta o descreve como &quot;sofrendo de melancolia ansiosa com ilusões de culpa, culpa imaginária e a espera por punição."
sangramento,,"A manifestação clássica da trombocitopenia sintomática (menor que 50,000/mm3) é o sangramento."
sanguíneo, Relativo ao sangue. Que tem cor de sangue. Em cujo temperamento predomina o sangue. Sanguinolento; sanguinário. ,"No verão de 1950, seus médicos descobriram que um aneurisma — um vaso sanguíneo fraco — em sua aorta abdominal estava ficando maior."
sanitário, Relativo à saúde; relativo à higiene: _policia sanitária_. ,"lt;ref name=saude2009/&gt; Ainda em 2009, 83,05% da população amazonense tinha acesso à rede de água, enquanto 58% tinha acesso à rede de esgoto sanitário."
saponificação, Acto ou efeito de saponificar. ,"A catálise por base tem o inconveniente da reação de saponificação, formando o sal do ácido carboxílico."
sarcoma," Tumor ou excrescência mórbida, com a consistência da carne. ","lt;/ref&gt; E em 1911, Peyton Rous transmitiu um tumor maligno de uma galinha para outra, descobrindo o vírus do sarcoma de Rous, e demonstrando que o câncer poderia ser transmitido por um vírus."
saturação, Acto ou efeito de saturar. ,"População residente, total, urbana total e urbana na sede municipal, em números absolutos e relativos, com indicação da área total e densidade demográfica, segundo as Unidades da Federação e os municípios – 2010|data=2010|publicado=Instituto Brasileiro de Geografia e Estatística|acessodata=16 de janeiro de 2014}} Isso não se deve à área do município, mas à saturação das áreas disponíveis, o que tem incentivado fortemente a verticalização das construções no município e a especulação imobiliária nas cidades da região metropolitana mais próximas da capital, como Nova Lima, Santa Luzia e Contagem, entre outras."
saúde," Estado do que é são, ou de quem tem as funções orgânicas no seu estado normal. Vigor. Boa ou má disposição no organismo de um indivíduo. Saudação, brinde, acto de se beber à mesa em homenagem ou lembrança afetuosa de alguém: _ao jantar, houve muitas saúdes_. ","lt;ref name=&quot;Enciclopédia Delta Universal 427&quot;/&gt; Os Estados Unidos enviaram vários profissionais das áreas tecnológicas à América Latina para ajudá-la a desenvolver seus sistemas de agricultura, indústria e educação, e a melhorar os serviços de saúde."
secreção," Propriedade dos tecidos orgânicos, em virtude da qual saem da substância deles as moléculas interiores que, segundo a sua natureza, são expelidas ou reabsorvidas ou fixadas nas cavidades do organismo. Substância segregada. ","A única glândula cutânea é a glândula uropigial perto da base da cauda, que produz uma secreção oleosa as aves usam para impermeabilizar as penas."
sedação, Acto de sedar. ,"Desenvolve tolerância em relação aos efeitos de euforia, de depressão respiratória, analgesia, sedação, vômitos e alterações hormonais."
sedentarismo, Hábitos sedentários. ,Estudos sobre a transição de sociedades caçadoras-coletoras para sociedades agrícolas indicam um período inicial de intensificação e aumento do sedentarismo; exemplos são a cultura natufiana no Levante e o neolítico chinês primitivo na China.
segmentação, Acto de segmentar. ,"Os insetos possuem corpos segmentados suportados por um exosqueleto rígido, constituído principalmente por quitina."
seio carotídeo,,Este tipo de síncope pode também ocorrer quando é pressionada uma área do pescoço denominada seio carotídeo.
sêmen, Semente. Esperma. ,"Por meio desses microscópios simples observou e descreveu detalhadamente a partir de 1674 diversos tipos de materiais biológicos, como protozoários, embriões de plantas, glóbulos vermelhos do sangue e espermatozoides presentes no sêmen de animais."
seminífero," Que tem sementes, ou que produz sémen. ","Todo o processo da espermatogênese é sustentado pelas células de Sertoli, que revestem o túbulo seminífero, nutrindo os espermatidíos."
sensibilidade," Qualidade do que é sensível. Propriedade de certas partes do sistema nervoso, pela qual os homens e os animais percebem as impressões causadas por objectos exteriores, ou produzidas interiormente. Impressionabilidade; susceptibilidade. Precisão, com que certos instrumentos ou aparelhos indicam a menor diferença ou alteração. ","Enquanto Aquiles lamentava a morte de tão rara beleza, um notório tumultuador grego, chamado Térsites, começou a rir e caçoar dele, sugerindo que o herói estaria apaixonado pela falecida; perturbado com tamanha falta de sensibilidade e de respeito, Aquiles socou Térsites no rosto com fúria, matando-o imediatamente."
sensor de radiografia digital,,
septicemia,,"Renato Russo faleceu no dia 11 de outubro de 1996, às 01h15 da madrugada, de doença pulmonar obstrutiva crônica, septicemia e infecção urinária — consequências da AIDS (Renato era soropositivo desde 1989, mas nunca assumiu publicamente a doença)."
séptico, Que causa putrefacção. ,"url=}} O uso em larga escala destes antibióticos no tratamento de doenças bacterianas, como a tuberculose, sífilis, lepra, e muitas outras, começou no início do {{séc|XX}} e continua a desempenhar um papel principal na quimioterapia antibacteriana."
septoplastia,,A septoplastia é uma operação cirúrgica que ajuda a aliviar uma condição comum que pode levar a dificuldades respiratórias e problemas para dormir.
sequenciamento,,"Em 1975 foi a vez de destacar as pesquisas sobre o sequenciamento de DNA, sendo Allan Maxam, Walter Gilbert e Frederick Sanger os principais cientista envolvidos nestas pesquisas."
seringa," Bomba portátil, que atrai e expele o ar e os líquidos, e que serve especialmente para introduzir líquidos nas cavidades interiores do corpo. ","O médico acalmou-o, pegou uma seringa, deu-lhe uma injeção de cânfora, e pediu champanhe."
serologia,,"Em comum com o homem ele tem  reações serológicas (ou sanguíneas) análogas, a possibilidade de enxerto testicular e a semelhança das circunvoluções do cérebro."
serotonina,,"Para a farmacologia, do ponto de vista bioquímico, ele denota a substância como um alterador da percepção e da cognição que age sobre os receptores de serotonina, igual o LSD."
sialografia,,"lt;ref name=&quot;Joiner2016&quot; /&gt; Normalmente, não são necessárias investigações adicionais; no entanto, a sialografia, a ultrassonografia e a tomografia computadorizada podem mostrar ar na glândula parótida e no ducto."
síndrome, O mesmo ou melhor que _síndroma_. ,"Epidemias recentes de gripe aviária, Vírus Ebola e síndrome respiratória aguda grave, que custaram muitas vidas e enormes recursos financeiros, são exemplo dramáticos de zoonoses que provavelmente se tornarão mais frequentes, e sob certas circunstâncias podem degenerar em perigosas pandemias."
sinovite, Inflamação das membranas sinoviais. ,"Doenças inflamações''': artrites, sinovite, meningite, doenças inflamatórias intestinais."
sintoma," Fenómeno das funções ou da constituição material dos órgãos, próprio para indicar a natureza, existência ou sede de uma enfermidade. ","harvref|Cheniaux|2022|p=66|loc=Other possible psychiatric manifestations}} Santos Dumont teria desenvolvido depressão em 1910, predatando o uso do avião na guerra, o que, de acordo com o artigo citado, indicaria que seu sentimento de culpa fosse um sintoma em vez da causa."
siringe,,"As aves possuem também um órgão único entre os animais, a siringe, que lhes permite produzir os cantos e chamamentos."
sistema imunológico,,"Imunologia]] — estuda a estrutura e função do sistema imunológico, imunidade inata e adquirida, distinção corporal e técnicas laboratoriais envolvendo a interação de antígenos com anticorpos específicos."
sístole," Estado do coração, em que as fibras musculares deste órgão estão contraidas. ","Durante a sua ação, a bebida provoca aumento do diâmetro pupilar, da frequência respiratória, da pressão arterial, tanto diastólica quanto sistólica; e aumenta drasticamente as respostas neuroendócrinas para prolactina,cortisol e hormônio do crescimento plasmático."
sítio cirúrgico,,
situação," Acto ou efeito de situar. Sítio. Posição. Disposição recíproca das diferentes partes de um todo. Lugar, onde está uma coisa ou pessoa. Fase governamental ou ministerial. O Ministério ou Governo, relativamente à actualidade ou a uma dada época. Posição de um indivíduo, relativamente à sua profissão. Estado financeiro de um indivíduo ou de uma colectividade. Estado ou condição. Lance. Vicissitude; ocorrência. ","Durante milhares de anos, as pessoas investigaram o espaço e a situação da Terra."
sobrecarga," Carga demasiada. Aquilo que se junta à carga. Aquilo que perturba o equilíbrio da carga. Espécie de cilha, com que se aperta a carga da besta. Marca, que as repartições postais põem nas estampilhas da correspondência. ","quote|São autores do crime de importação, ou de tentativa dessa importação, o dono, o capitão ou mestre, o piloto e o contramestre da embarcação, e o sobrecarga."
socorro," Acto ou efeito de socorrer; auxílio. Protecção, amparo. ","Entre estas, pode-se destacar a sua luta contra a rainha das amazonas, Pentesileia, que veio com as suas tropas em socorro dos troianos e perdeu a vida às suas mãos."
sódio," Corpo metálico, de que a soda é o óxido. ","gov/Disorders/Patient-Caregiver-Education/Fact-Sheets/Creutzfeldt-Jakob-Disease-Fact-Sheet|arquivodata=4 de julho de 2017}} A dor pode ser aliviada com opioides, enquanto o clonazepam ou o valproato de sódio podem ajudar com os movimentos involuntários."
somatostatina,,"Os hormônios (ou fatores) hipotalâmicos de liberação e de  inibição de maior importância incluem: '''Hormônio liberador de tireotrofina (TRH)''', que ocasiona a liberação do hormônio tireoestimulante; '''Hormônio liberador de corticotrofina (CRH)''', que induz a liberação de adrenocorticotropina; '''Hormônio liberador do hormônio do crescimento (GHRH)''', que promove a  liberação do hormônio do crescimento; '''Hormônio inibidor de GH (Somatostatina)''', de efeito oposto; '''Hormônio liberador de gonadotrofinas (GnRH)''', que causa liberação dos dois hormônios gonadotrópicos, hormônio luteinizante (LH) e hormônio folículo - estimulante (FSH); '''Hormônio inibidor de prolactina (dopamina)''', que causa inibição da secreção de prolactina e o '''Hormônio liberador de prolactina (PRH'''), de efeito contrário."
sonda,Forma afrancesada de _Sunda_. ,"Outras observações recentes, como a análise da poeira cometária coletada pela sonda espacial ''Stardust'', estão cada vez mais obscurecendo a distinção entre cometas e asteroides,{{citar vídeo|título=Comet dust seems more ‘asteroidy’ |medium=audio podcast |revista=Scientific American |data=25-01-2008|url=http://www."
sonda exploradora odontológica,,
sonda foley,,A compressão do colo do útero com cateter com balão (sonda foley) inflado com soro para dilatar o cérvix estimula a liberação de prostaglandinas nos tecidos que iniciam o trabalho de parto.
sonda nasogástrica,,"Em caso de necessidade, em crianças mais novas, é possível administrar a solução através de uma sonda nasogástrica."
sonolência," Sono imperfeito. Momento de transição, entre o estado de quem dorme e o acordar. Disposição para dormir; modorra. ","Tontura, cefaleia, sonolência."
soro,,"Entre outros compositores importantes destacam-se: Alberto Williams (1862-1952), da Argentina, Enrique Soro (1884-1954) e Domingo Santa Cruz Wilson (1899-1987), do Chile, Manuel Ponce (1882-1948), do México, e Eduardo Fabini, do Uruguai."
soro fisiológico,,"Para aumentar as mamas, algumas mulheres submetem-se a cirurgias plásticas de enchimento interno com silicone ou sacos de soro fisiológico."
sorologia,,"lt;/ref&gt; Para o tratamento de picadas de escorpiões, aranhas e serpentes venenosas, o sorologista Vital Brazil criou os soros antiescorpiônico, antiaracnídeo e antiofídico."
soroterapia, O mesmo que _seroterapia_. ,"align=&quot;center&quot;|&quot;por seu trabalho na soroterapia, especialmente sua aplicação contra a difteria, pela qual ele abriu um novo caminho no domínio da ciência médica e, assim, colocou nas mãos do médico uma arma vitoriosa contra as doenças e as mortes&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 1901|url=http://www."
soterramento, Acto ou efeito de soterrar^1. ,"A teoria biogênica do petróleo sugere que o petróleo extraído da crosta terrestre teria origem comum ao carvão mineral, já que ele também é encontrado soterrado, tendo sido gerados em função do efeito de fossilização de animais e plantas, provocado pela ação de pressão e temperatura muito altas geradas há milhões de anos no processo de soterramento de material orgânico que por algum motivo não entrou na cadeia alimentar antes ou quando foi enterrado."
subcutâneo, Que está por baixo da cútis. ,Na porção meridional da América do Sul o óleo extraído da gordura subcutânea das capivaras é usado como remédio.
sudorese,,"São comuns, após a ingestão da ''ayahuasca'', relatos de vômitos, sudorese e diarreia em uma proporção não muito bem estabelecida, entre os que a experimentam, podendo resultar, segundo alguns pesquisadores, em quadros de desidratação e descompensação eletrolítica, de modo mais agravado em organismos sensíveis, como os de crianças."
suporte vital,,"As ferrovias são o suporte vital do país, são monopolizadas pelo Estado e divididas em vários gabinetes ferroviários em diferentes regiões."
supuração, Acto ou efeito de supurar. ,"A infecção pode levar a formação de pus, num processo conhecido por supuração."
susceptibilidade," Qualidade do que é susceptível. Disposição para sentir influências ou contrair enfermidades. Disposição para se melindrar facilmente; melindre.--Nesta última aceção, o t. é considerado galicismo inútil. ","publicado=Plenum Press|páginas=319–346|ano=1980|isbn=0306403285}} Pessoas com até 25 anos de idade, novos implantes de lentes (que permitem a entrada de mais raios ultravioleta dentro dos olhos do que lentes naturais envelhecidas), Sol em ângulos próximo ao zénite, e observações feitas em alta altitude, são todos fatores que aumentam a susceptibilidade de lesões em observações diretas a olho nu."
sutura," Operação, que consiste em coser os lábios de uma ferida, para os juntar. Juntura. Costura. ","html | ano=1988 |obra=Birds of Stanford | editora=Stanford University | acessodata=13 de dezembro de 2007}} com base em: {{Citar livro |título=The Birder's Handbook |autor= Paul Ehrlich, David Dobkin, e Darryl Wheye |ano=1988 |editora=Simon and Schuster |local=Nova Iorque}} Nos adultos, os ossos do crânio estão fundidos entre si e não apresentam suturas cranianas."
tálamo, Leito conjugal. ,"O '''hipotálamo''' (do grego antigo ὑποθαλαμος, ''sob o tálamo'') é uma região do encéfalo dos mamíferos (tamanho aproximado ao de uma amêndoa) localizado sob o tálamo, formando uma importante área na região central do diencéfalo, tendo como função regular determinados processos metabólicos e outras atividades autônomas."
tamponamento,,"Quando este derrame, ou um trauma, causam insuficiência cardíaca aguda, a condição é denominada tamponamento cardíaco."
tendinite,,"tratamento de doenças como artrite reumatoide, bursite, tendinite e câncer."
tensão arterial,,"Raides de Bicicleta; Magustos; Participaзгo em Projectos de Intervenção e Sensibilização Ambiental; Rally-paper; Torneios de Futebol; Conferência Sobre o Euro; Dia da Saúde: rastreio visual e auditivo, tensão arterial, diabetes e colesterol; Campanhas de Recolha de Natal para entrega a Instituições de Caridade; Espectáculos de Teatro."
terapêutica," Parte da Medicina, que trata da escolha e administração dos meios de curar doenças, e da natureza dos remédios. Tratamento das doenças. ","Ele era considerado por uns um filho de Apolo, por outros uma encarnação do próprio deus, que descera ao mundo dos homens com uma missão terapêutica,Smith, Jonathan Z."
termômetro clínico,,"Termômetro|Termômetro Clínico]]: Thomas Clifford Allbutt, 1866, os termômetros anteriores demoravam uma ou mais horas para estabelecer a temperatura."
termoterapia, Emprego terapêutico do calor. ,"lt;ref name=&quot;:3&quot; /&gt; A história da Fisioterapia e de seus precursores se fundamentou em seis pilares: hidroterapia, exercícios terapêuticos, eletroterapia, termoterapia, fototerapia e massagem."
tesoura cirúrgica,,"Como exemplo, uma tesoura cirúrgica pode ser lavada, e ela estará apenas limpa."
tétano," Doença, caracterizada pela rigidez convulsiva dos músculos. ","Taxas de imunização de crianças de um ano de idade em 1999 foram estimadas em 22% de tétano, difteria e tosse convulsa e 46% para sarampo."
tique, Contracção espasmódica dos músculos faciais. Neuralgia facial. ,"Mola de balanço utilizada para regular o fluxo de energia que vem da mola principal, enrola-se e desenrola-se com periodicidade natural permitindo o ajuste fino do tique-taque."
tiras de teste de glicose,,
tomografia,,"jpg|thumb|Raio X (em cima), ressonância magnética (a meio), e tomografia computorizada tridimensional (em baixo) do abdómen."
toracocentese,,"A toracocentese e a drenagem pleural são, portanto procedimentos cirúrgicos com finalidade diagnóstica e terapêutica nas doenças da cavidade pleural."
touca cirúrgica,,
toxicologia," Ciência, que se ocupa dos tóxicos. ","Algumas matrizes biológicas são utilizadas como alternativas para análises laboratoriais, principalmente em estudos de toxicologia forense, como em casos de corpos carbonizados, por exemplo."
toxina," Substância venenosa, segregada por bactérias. ","Outros cultivos transgênicos usados pelos produtores incluem cultivos resistentes a insetos, que possuem um gene da bactéria do solo ''Bacillus thuringiensis'' (Bt), que produz uma toxina específica para insetos."
tracoma," Oftalmia, acompanhada de aspereza na parte interior das pálpebras. ","Departamento Nacional de Endemias Rurais (educação sanitária, atividades de saneamento básico, campanhas de vacinação contra a ancilostomose, doença de Chagas, febre amarela, filariose, malária e tracoma)."
tráfego microvascular,,
tranquilizante,,"Também não é considerado caça o ato de perseguir animais sem a intenção de matá-los, como na atividade fotográfica de animais silvestres, observação de aves ou atividades de pesquisa científica que envolvam a tranquilização ou marcação de animais ou pássaros (Ver: Ibama)."
transfusão, Acto ou efeito de transfundir. ,"Luis Agote criou o primeiro método seguro de transfusão de sangue, Enrique Finochietto projetou ferramentas de mesa de operação, tais como as tesouras cirúrgicas que levam seu nome (&quot;tesoura Finochietto&quot;)."
transplante, O mesmo que _transplantação_. ,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
traqueostomia,,"Como uma parte importante do trato respiratório, quando obstruída, a traqueia impede que o ar entre nos pulmões e, portanto, uma traqueostomia pode ser necessária se a traqueia estiver obstruída."
traumatologia,,"O principal grupo de doenças ósseas, no entanto, é objeto da traumatologia, que abrange o diagnóstico e o tratamento de fraturas e outras lesões traumáticas."
tricomoníase,,Trichomonas]]: causa uma DST chamada tricomoníase.
triglicerídeos,,"Os ácidos graxos podem ser subsequentemente convertidos em triglicerídeos, que serão armazenados no fígado e no tecido adiposo."
trombose," Coagulação do sangue em qualquer ponto do sistema circulatório, no corpo vivo. ",Jornal de Trombose e Haemostasis .
tuberculose," Disposição orgânica para a formação de tubérculos. Tísica, resultante da formação de tubérculos no pulmão. ",A incidência de tuberculose em 1999 foi 271 por 100 000 pessoas.
tubo de coleta de sangue,,
tubo de ensaio,,"Citam, não raramente, a fim de corroborar seu posicionamento, a postura similar adotada pela ciência moderna; a de que deus(es) transcende(m) aos &quot;tubos de ensaio&quot;; e que, por tal não se pode entrar empiricamente nos &quot;méritos daquEle(s)&quot;."
tubo endotraqueal,,"Intubação endotraqueal ou orotraqueal (IOT)''' é um procedimento de ''suporte avançado de vida'' onde o médico, com um laringoscópio, visualiza a laringe e através dela introduz um tubo na traqueia (tubo endotraqueal)."
tumor," Saliência circunscrita, desenvolvida em qualquer parte do corpo. ","Não concluiu o curso, pois foi acometido de uma tuberculose pulmonar nas férias de 1851-52, a qual foi agravada por um tumor na fossa ilíaca, ocasionado por uma queda de cavalo, falecendo aos 20 anos."
úlcera," Ferida ou chaga antiga, cuja cicatrização é pouco provável. Alteração do tecido lenhoso das árvores. ","Foi comprovado que o consumo não moderado de álcool está associado a um maior risco de doença de Alzheimer e outras doenças senis, angina de peito, fraturas e osteoporose, diabetes, úlcera duodenal, cálculo biliar, hepatite A, linfomas, pedras nos rins, Transtorno Bipolar, síndrome metabólica, câncer no pâncreas, doença de Parkinson, artrite reumática e gastrite."
ultrassom terapêutico,,"No estágio inicial, o tratamento pode incluir desde a instrução da higiene oral à raspagem supragengival que pode ser realizada através do uso de curetas e ultrassom."
ultrassonografia,,"com/node/18651512|título=The most surprising demographic crisis|obra=The Economist|data=05-05-2011|acessodata=1/11/2011}} O governo está particularmente preocupado com o desequilíbrio na proporção entre os sexos no nascimento, aparentemente um resultado de uma combinação da tradicional preferência por meninos e da pressão do planejamento familiar, o que levou à proibição de utilização de dispositivos de ultrassonografia para situações não emergenciais, em uma tentativa de se evitar abortos seletivos."
